tier,category,tool_id,tool_name,clicks_90d,impressions_90d,avg_position
INVEST,financecalc,investment-return-calc,Investment Return Calculator,0,777,87.9
INVEST,video,video-merger,Video Merger,3,776,86.1
INVEST,devtools,cidr-calc,CIDR Calculator,0,561,79.5
INVEST,text,number-to-words,Number to Words,0,542,82.0
INVEST,mathcalc,percentage-change-calculator,Percentage Change Calculator,0,488,73.7
INVEST,financecalc,student-loan-calc,Student Loan Calculator,0,443,78.3
INVEST,text,reading-time,Reading Time Calculator,0,359,76.6
INVEST,units,data-rate-converter,Data Transfer Rate Converter,0,358,54.6
INVEST,video,video-reverse,Video Reverser,4,318,67.1
INVEST,converters2,paper-size-converter,Paper Size Converter,0,314,55.4
INVEST,video,video-speed,Video Speed Changer,9,294,71.5
INVEST,business,payslip-gen,Payslip / Salary Slip Generator,0,270,86.0
INVEST,converters2,blood-glucose-converter,Blood Glucose Converter,0,266,71.9
INVEST,generators,iban-generator,IBAN Generator,0,234,74.5
INVEST,study,significant-figures-counter,Significant Figures Calculator,0,227,58.6
INVEST,converters2,wire-gauge-converter,Wire Gauge Converter,0,212,75.1
INVEST,business,roi-calculator,ROI Calculator,0,198,79.9
INVEST,fancy,mirror-text,Mirror Text Generator,0,192,81.2
INVEST,encoding,hex-text,Hex Text Converter,0,181,78.8
INVEST,encoding,caesar-cipher,Caesar Cipher,2,180,88.8
INVEST,study,scientific-notation-converter,Scientific Notation Converter,0,165,47.4
INVEST,video,video-crop,Video Cropper,0,161,89.5
INVEST,images,image-color-replace,Image Color Replace,0,159,92.6
INVEST,hash,crc32,CRC32 Checksum,0,138,74.7
INVEST,formatters,line-counter,Line Counter,0,136,58.6
INVEST,encoders,hex-encode,Text to Hex,0,135,74.8
INVEST,mathcalc,sequence-calc,Sequence Calculator,0,135,79.6
INVEST,images,image-blur,Image Blur,0,134,88.0
INVEST,generators,serial-number-gen,Serial Number Generator,1,133,66.5
INVEST,random,random-word-generator,Random Word Generator,0,127,81.0
INVEST,html,html-table-generator,HTML Table Generator,0,125,76.8
INVEST,video,video-rotate,Video Rotator,0,125,76.3
INVEST,audio,hearing-test,Hearing Frequency Test,0,124,74.0
INVEST,random,random-date-generator,Random Date Generator,1,122,69.8
INVEST,random,random-food-generator,Random Food Generator,1,115,64.1
INVEST,generators,encryption-key-gen,Encryption Key Generator,0,113,68.3
INVEST,fancy,italic-text-generator,Italic Text Generator,0,110,80.9
INVEST,financecalc,loan-prepayment-calc,Loan Prepayment Calculator,0,105,92.2
INVEST,css,css-flexbox,CSS Flexbox Generator,0,104,58.1
INVEST,html,html-link-generator,HTML Link Generator,0,104,77.5
INVEST,text,words-to-number,Words to Number,0,102,84.5
INVEST,office,checklist-maker,Printable Checklist Maker,0,100,79.4
INVEST,js,es6-to-es5,ES6 to ES5 Converter,1,75,28.0
INVEST,devgen,openapi-gen,OpenAPI Generator,1,47,55.1
INVEST,video,video-loop,Video Looper,2,39,55.8
INVEST,text,text-to-numbered,Text to Numbered List,1,37,37.6
INVEST,random,random-seed-generator,Seeded Random Generator,3,36,37.9
INVEST,everyday,scoreboard,Online Scoreboard,1,36,69.2
INVEST,mathcalc,prime-factorization,Prime Factorization,1,32,77.8
INVEST,random,lottery-number-generator,Lottery Number Generator,4,28,73.5
INVEST,pdf,pdf-to-text,PDF to Text Converter,1,22,83.2
INVEST,generators,license-plate-gen,License Plate Generator,2,14,34.9
INVEST,devtools,text-shadow-gen,Text Shadow Generator,1,14,92.2
INVEST,generators2,affiliate-disclosure-gen,Affiliate Disclosure Generator,1,13,72.5
INVEST,audio,audio-channel-splitter,Audio Channel Splitter,1,11,20.4
INVEST,hash,fnv-hash,FNV Hash,1,11,26.9
INVEST,html,html-audio-tag,HTML Audio Tag Generator,1,9,35.7
INVEST,audio,binaural-beat-generator,Binaural Beat Generator,1,8,43.8
INVEST,encoders,z85,Z85 Encoder / Decoder,1,8,7.6
INVEST,mathcalc,set-theory-calc,Set Theory Calculator,1,8,77.4
INVEST,text,censor-words,Word Censor / Bad Word Filter,1,7,36.4
INVEST,video,video-compressor,Video Compressor,1,7,67.4
INVEST,random,dice-roller-3d,RPG Dice Roller,1,6,40.0
INVEST,text,numbered-to-text,Numbered List to Text,1,5,17.2
INVEST,everyday,world-clock,World Clock & Time Zone Converter,1,2,125.5
INVEST,generators,fake-date-gen,Fake Date Generator,1,2,15.5
INVEST,devgen,dependabot-yml-gen,Dependabot Config Generator,1,1,4.0
KEEP,js,js-validator,JavaScript Validator,0,98,68.5
KEEP,random,random-charades-generator,Random Charades Generator,0,98,72.6
KEEP,pdf,pdf-margin-adder,PDF Margin Tool,0,92,59.0
KEEP,business,swot-gen,SWOT Analysis Generator,0,88,85.3
KEEP,hash,sha512-hash,SHA-512 Hash Generator,0,88,67.8
KEEP,study,equation-balancer,Chemical Equation Balancer,0,86,84.8
KEEP,pdf,pdf-page-numbering,PDF Page Numbering,0,85,80.7
KEEP,business,quotation-gen,Quotation Generator,0,84,69.6
KEEP,text,remove-duplicates,Remove Duplicate Lines,0,80,62.3
KEEP,study,exam-countdown,Exam Countdown,0,78,23.5
KEEP,video,video-to-gif,Video to GIF Converter,0,77,78.5
KEEP,generators,strong-password-gen,Strong Password Generator,0,76,70.4
KEEP,hash,hash-file,File Hash Calculator,0,74,69.4
KEEP,encoding,text-to-unicode,Text to Unicode Points,0,72,77.2
KEEP,generators2,youtube-description-gen,YouTube Description Generator,0,71,105.3
KEEP,devtools,basic-auth-generator,Basic Auth Generator,0,70,57.4
KEEP,fancy,small-caps,Small Caps Generator,0,70,69.0
KEEP,converters2,ring-size-converter,Ring Size Converter,0,69,83.4
KEEP,images,image-border,Image Border,0,69,82.3
KEEP,js,js-obfuscator,JavaScript Obfuscator,0,69,87.6
KEEP,data,csv-viewer,CSV Viewer,0,68,73.6
KEEP,encoders,binary-decode,Binary to Text,0,68,79.8
KEEP,everyday,dice-roller,Dice Roller,0,66,66.7
KEEP,html,html-cleaner,HTML Cleaner,0,66,73.1
KEEP,converters2,fuel-economy-converter,Fuel Economy Converter,0,63,67.4
KEEP,study,molar-mass-calculator,Molar Mass Calculator,0,62,83.8
KEEP,office,ical-event-generator,iCal Event Generator (.ics),0,59,76.8
KEEP,data,csv-merger,CSV Merger,0,58,76.4
KEEP,encoders,binary-encode,Text to Binary,0,56,72.5
KEEP,html,iframe-generator,iFrame Generator,0,56,75.9
KEEP,video,video-fps-changer,Video Frame Rate Changer,0,56,77.6
KEEP,financecalc,irr-calc,IRR Calculator,0,55,84.4
KEEP,everyday,day-of-week-finder,Day of the Week Finder,0,54,80.2
KEEP,devtools,css-units-ref,CSS Units Ref,0,52,67.9
KEEP,js,js-console-simulator,JS Console Simulator,0,52,46.1
KEEP,formatters,code-diff,Code Diff Viewer,0,51,77.1
KEEP,text,space-between-letters,Space Between Letters,0,51,47.0
KEEP,units,blood-sugar-converter,Blood Sugar Converter,0,51,70.8
KEEP,converters2,clothing-size-converter,Clothing Size Converter,0,50,73.5
KEEP,office,email-link-generator,Mailto Link Generator,0,50,84.2
KEEP,encoding,polybius-square,Polybius Square Cipher,0,48,70.5
KEEP,images,screenshot-taker,Screenshot Taker,0,48,83.8
KEEP,financecalc,currency-denomination-calc,Cash Denomination Breakdown,0,47,51.7
KEEP,business,marketing-plan-gen,Marketing Plan Generator,0,44,80.2
KEEP,audio,audio-sample-rate,Audio Sample Rate Converter,0,43,49.2
KEEP,mathcalc,cylinder-calc,Cylinder Calculator,0,42,75.8
KEEP,financecalc,car-loan-calc,Car Loan Calculator,0,41,83.9
KEEP,hash,hmac-generator,HMAC Generator,0,41,60.1
KEEP,video,gif-to-video,GIF to Video Converter,0,41,72.0
KEEP,encoding,binary-text,Binary Text Converter,0,40,82.5
KEEP,js,js-formatter,JavaScript Formatter,0,40,60.6
KEEP,fancy,bubble-text,Bubble Text Generator,0,39,86.3
KEEP,formatters,java-formatter,Java Formatter,0,39,65.4
KEEP,hash,md5-hash,MD5 Hash Generator,0,39,80.7
KEEP,encoding,morse-code,Morse Code Translator,0,38,85.0
KEEP,everyday,add-subtract-days,Add or Subtract Days,0,38,32.2
KEEP,devtools,lorem-ipsum-adv,Lorem Ipsum Advanced,0,37,77.9
KEEP,encoding,tap-code,Tap Code Translator,0,37,67.7
KEEP,random,random-hobby-generator,Random Hobby Generator,0,37,47.8
KEEP,devtools,date-format-calc,Date Format Calc,0,36,56.2
KEEP,financecalc,ssy-calc,Sukanya Samriddhi Calculator,0,36,87.4
KEEP,html,html-to-pdf-preview,HTML Preview,0,36,79.2
KEEP,images,image-pixelate,Image Pixelate,0,36,88.2
KEEP,audio,audio-mono-stereo,Mono to Stereo Converter,0,34,57.6
KEEP,colors,hex-rgba,HEX to RGBA Converter,0,34,69.4
KEEP,generators2,blog-title-gen,Blog Title Generator,0,34,87.3
KEEP,js,js-comment-remover,JS Comment Remover,0,34,49.2
KEEP,office,sms-link-generator,SMS Link Generator,0,34,74.5
KEEP,audio,audio-base64,Audio to Base64 Converter,0,33,56.2
KEEP,encoders,ascii-table,ASCII Code Lookup,0,33,57.2
KEEP,generators,api-key-gen,API Key Generator,0,33,72.0
KEEP,images,image-invert,Image Invert,0,33,87.5
KEEP,pdf,pdf-viewer,PDF Viewer,0,33,59.5
KEEP,business,offer-letter-gen,Job Offer Letter Generator,0,32,70.3
KEEP,business,utm-builder,UTM Campaign Builder,0,32,88.0
KEEP,devtools,unix-timestamp,Unix Timestamp,0,32,72.2
KEEP,financecalc,hourly-to-annual-calc,Hourly to Annual Salary,0,32,79.4
KEEP,text,email-extractor,Email Extractor,0,32,94.5
KEEP,everyday,next-friday-13,Next Friday the 13th,0,31,11.3
KEEP,images,image-caption,Image Caption,0,31,80.2
KEEP,units,speed-converter,Speed Converter,0,31,69.8
KEEP,data,scatter-plot-maker,Scatter Plot Maker,0,30,80.6
KEEP,fancy,clap-text,Clap Text Generator,0,30,10.2
KEEP,financecalc,blood-sugar-converter,Blood Sugar Converter,0,30,69.7
KEEP,generators2,elevator-pitch-gen,Elevator Pitch Generator,0,30,89.7
KEEP,encoders,unicode-lookup,Unicode Character Lookup,0,29,64.8
KEEP,html,html-to-jsx,HTML to JSX,0,29,72.1
KEEP,css,css-text-shadow,CSS Text Shadow Generator,0,28,84.6
KEEP,encoders,base32-encode,Base32 Encoder,0,28,71.9
KEEP,formatters,python-formatter,Python Code Cleaner,0,28,66.6
KEEP,html,html-tag-counter,HTML Tag Counter,0,28,19.0
KEEP,css,css-animation,CSS Animation Generator,0,27,72.0
KEEP,study,revision-planner,Revision Timetable Planner,0,27,67.9
KEEP,text,unique-words,Unique Word Extractor,0,27,46.5
KEEP,business,landing-copy-gen,Landing Page Copy Generator,0,26,85.5
KEEP,encoders,xml-encode,XML Encoder / Decoder,0,26,51.9
KEEP,encoding,text-to-ascii,Text to ASCII Codes,0,26,75.3
KEEP,devtools,jwt-debugger,JWT Debugger,0,25,70.9
KEEP,encoders,vigenere-cipher,Vigenère Cipher,0,25,69.8
KEEP,financecalc,break-even-calc,Break-even Calculator,0,25,60.7
KEEP,images,image-text-overlay,Image Text Overlay,0,25,75.8
KEEP,random,random-color-palette,Random Color Palette Generator,0,25,71.3
KEEP,devtools,semver-tools,Semver Tools,0,24,52.7
KEEP,html,html-formatter,HTML Formatter,0,24,67.2
KEEP,html,html-validator,HTML Validator,0,24,75.3
KEEP,mathcalc,distance-calc,Distance Between Points,0,24,87.9
KEEP,random,random-animal-generator,Random Animal Generator,0,24,86.8
KEEP,units,kinematic-viscosity-converter,Kinematic Viscosity Converter,0,24,64.0
KEEP,audio,audio-metadata-viewer,Audio Metadata Viewer,0,23,44.8
KEEP,encoders,hex-decode,Hex to Text,0,23,70.7
KEEP,fancy,upside-down-text,Upside Down Text,0,23,81.5
KEEP,html,html-button-generator,HTML Button Generator,0,23,66.9
KEEP,mathcalc,ratio-simplifier,Ratio Simplifier,0,23,59.0
KEEP,text,remove-specific-chars,Remove Specific Characters,0,23,63.1
KEEP,text,rot13,ROT13 Encoder,0,23,60.8
KEEP,financecalc,nps-calc,NPS Calculator,0,22,80.9
KEEP,formatters,sql-minifier,SQL Minifier,0,22,66.6
KEEP,generators2,eula-gen,EULA Generator,0,22,61.5
KEEP,html,html-boilerplate-generator,HTML5 Boilerplate Generator,0,22,57.2
KEEP,formatters,php-formatter,PHP Formatter,0,21,74.9
KEEP,images,gradient-image,Gradient Image,0,21,73.6
KEEP,random,random-line-picker,Random Line Picker,0,21,39.1
KEEP,css,css-text-stroke,CSS Text Stroke Generator,0,20,71.8
KEEP,encoders,atbash-cipher,Atbash Cipher,0,20,77.0
KEEP,financecalc,npv-calc,NPV Calculator,0,20,87.3
KEEP,images,image-sepia,Image Sepia,0,20,79.1
KEEP,random,magic-8-ball,Magic 8 Ball,0,20,66.8
WATCH,colors,complementary-color,Complementary Color Finder,0,19,69.5
WATCH,encoding,braille-translator,Braille Translator,0,19,55.0
WATCH,generators,cuid-gen,CUID Generator,0,19,60.4
WATCH,units,fuel-converter,Fuel Economy Converter,0,19,64.2
WATCH,encoders,unicode-encode,Unicode Encoder,0,18,62.4
WATCH,generators,rsa-key-pair-gen,RSA Key Pair Generator,0,18,72.0
WATCH,office,whatsapp-link-generator,WhatsApp Link Generator,0,18,73.6
WATCH,pdf,pdf-redact,PDF Redaction Tool,0,18,78.8
WATCH,random,random-name-generator-fun,Random Name Generator,0,18,78.3
WATCH,random,random-sentence-generator,Random Sentence Generator,0,18,65.7
WATCH,encoding,beaufort-cipher,Beaufort Cipher,0,17,37.1
WATCH,financecalc,effective-annual-rate-calc,Effective Annual Rate Calculator,0,17,85.8
WATCH,images,image-splitter,Image Splitter,0,17,76.5
WATCH,text,acronym-generator,Acronym Generator,0,17,80.6
WATCH,video,webcam-recorder,Webcam Recorder,0,17,89.1
WATCH,audio,microphone-tester,Microphone Tester,0,16,60.0
WATCH,fancy,wide-spaced-text,Wide Spaced Text,0,16,36.1
WATCH,financecalc,ppi-dpi-calc,PPI/DPI Calculator,0,16,54.5
WATCH,financecalc,take-home-pay-calc,Take Home Pay Calculator,0,16,55.2
WATCH,generators,vin-generator,VIN Generator,0,16,59.8
WATCH,html,og-tag-generator,Open Graph Generator,0,16,74.5
WATCH,images,image-saturation,Image Saturation,0,16,78.1
WATCH,mathcalc,angle-calc,Angle Calculator,0,16,89.4
WATCH,mathcalc,ellipse-calc,Ellipse Calculator,0,16,83.9
WATCH,study,unit-prefix-reference,SI Unit Prefix Table,0,16,19.4
WATCH,audio,audio-fade-in-out,Audio Fade In & Out,0,15,57.8
WATCH,audio,noise-generator,Noise Generator,0,15,56.5
WATCH,converters2,typography-converter,Typography Converter,0,15,59.2
WATCH,converters2,viscosity-converter,Viscosity Converter,0,15,72.0
WATCH,data,csv-splitter,CSV Splitter,0,15,81.3
WATCH,devtools,crontab-guru,Crontab Guru,0,15,44.0
WATCH,devtools,curl-to-code,cURL to Code,0,15,40.9
WATCH,fancy,square-text,Square Text Generator,0,15,70.8
WATCH,html,html-color-codes,HTML Color Code Generator,0,15,59.4
WATCH,js,cjs-esm-converter,CommonJS ⇄ ESM Converter,0,15,42.1
WATCH,pdf,pdf-unlock,PDF Password Remover,0,15,87.7
WATCH,random,random-tarot-card,Random Tarot Card Generator,0,15,66.7
WATCH,random,random-username-generator,Random Username Generator,0,15,82.1
WATCH,study,citation-generator,Citation Generator,0,15,73.7
WATCH,study,readability-scorer,Readability Score Checker,0,15,61.0
WATCH,text,find-replace,Find & Replace,0,15,73.9
WATCH,text,text-joiner,Line Joiner,0,15,45.0
WATCH,units,magnetic-field-converter,Magnetic Field Converter,0,15,41.7
WATCH,units,running-pace-converter,Running Pace Converter,0,15,69.2
WATCH,business,memo-gen,Business Memo Generator,0,14,72.2
WATCH,colors,pastel-generator,Pastel Color Generator,0,14,48.4
WATCH,converters2,flow-rate-converter,Flow Rate Converter,0,14,67.0
WATCH,css,css-color-palette,CSS Color Palette Generator,0,14,76.9
WATCH,devtools,bytes-humanizer,Bytes Humanizer,0,14,22.7
WATCH,devtools,diff-checker,Diff Checker,0,14,60.9
WATCH,encoders,html-decode,HTML Entities Decoder,0,14,59.7
WATCH,encoding,a1z26-cipher,A1Z26 Cipher,0,14,50.0
WATCH,fancy,fraktur-text,Fraktur Text Generator,0,14,58.4
WATCH,formatters,csv-to-json,CSV to JSON,0,14,80.5
WATCH,generators,guid-gen,GUID Generator,0,14,71.6
WATCH,html,html-attribute-remover,HTML Attribute Remover,0,14,37.9
WATCH,images,dpi-checker,DPI Checker,0,14,68.1
WATCH,images,image-thumbnail,Image Thumbnail,0,14,64.8
WATCH,study,periodic-table,Interactive Periodic Table,0,14,66.5
WATCH,units,radiation-converter,Radiation Converter,0,14,59.3
WATCH,fancy,serif-bold-text,Serif Bold Text Generator,0,13,80.4
WATCH,financecalc,ctc-to-inhand-calc,CTC to In-Hand Salary Calculator,0,13,85.7
WATCH,financecalc,fd-calc,FD Calculator,0,13,64.2
WATCH,generators2,gdpr-compliance-gen,GDPR Compliance Notice Generator,0,13,74.6
WATCH,hash,sha256-hash,SHA-256 Hash Generator,0,13,76.5
WATCH,html,html-nl2br,Newline to BR Converter,0,13,39.2
WATCH,text,sentence-splitter,Sentence Splitter,0,13,58.9
WATCH,text,text-diff,Text Comparison / Diff,0,13,91.8
WATCH,text,text-randomizer,Text Randomizer,0,13,70.4
WATCH,colors,color-distance,Color Distance Calculator,0,12,44.0
WATCH,css,css-backdrop-filter,CSS Backdrop Filter Generator,0,12,48.3
WATCH,css,css-hex-to-rgba,CSS Hex to RGBA Converter,0,12,64.2
WATCH,encoders,caesar-cipher,Caesar Cipher,0,12,86.8
WATCH,fancy,bold-italic-generator,Bold Italic Generator,0,12,82.0
WATCH,fancy,glitch-text,Glitch Text Generator,0,12,70.7
WATCH,financecalc,present-value-calc,Present Value Calculator,0,12,40.4
WATCH,formatters,xml-formatter,XML Formatter,0,12,73.8
WATCH,js,js-regex-escape,JS Regex Escaper,0,12,37.2
WATCH,js,js-string-escaper,JS String Escaper,0,12,62.3
WATCH,js,js-to-json,JS Object to JSON,0,12,76.7
WATCH,mathcalc,mean-median-mode,"Mean, Median & Mode Calculator",0,12,76.7
WATCH,mathcalc,modulo-calc,Modulo Calculator,0,12,71.5
WATCH,mathcalc,number-to-words,Number to Words,0,12,75.2
WATCH,pdf,pdf-metadata-editor,PDF Metadata Editor,0,12,74.2
WATCH,pdf,pdf-password-protect,PDF Password Protector,0,12,90.8
WATCH,study,in-text-citation-helper,In-Text Citation Helper,0,12,39.8
WATCH,text,text-to-bullets,Text to Bullet List,0,12,38.6
WATCH,devgen,browserslist-gen,Browserslist Generator,0,11,45.9
WATCH,fancy,spongebob-mocking-case,Mocking SpongeBob Case,0,11,38.5
WATCH,generators2,about-us-gen,About Us Page Generator,0,11,78.2
WATCH,images,pdf-to-image,PDF to Image,0,11,84.0
WATCH,json,json-to-typescript,JSON to TypeScript,0,11,74.0
WATCH,mathcalc,slope-calc,Slope & Line Equation,0,11,82.5
WATCH,mathcalc,sphere-calc,Sphere Calculator,0,11,80.5
WATCH,office,vcard-generator,vCard QR Generator,0,11,65.4
WATCH,text,remove-line-numbers,Remove Line Numbers,0,11,34.8
WATCH,video,video-bitrate-changer,Video Bitrate Changer,0,11,68.8
WATCH,audio,video-audio-extractor,Video to Audio Extractor,0,10,70.8
WATCH,audio,waveform-viewer,Waveform Viewer,0,10,42.0
WATCH,colors,css-color-names,CSS Color Names Reference,0,10,74.9
WATCH,colors,rgb-percentage,RGB Percentage Converter,0,10,27.0
WATCH,css,css-clip-path,CSS Clip-Path Generator,0,10,57.6
WATCH,devgen,changelog-gen,Changelog Generator,0,10,78.2
WATCH,encoders,base62,Base62 Encoder / Decoder,0,10,67.1
WATCH,encoding,nato-alphabet,NATO Phonetic Alphabet,0,10,72.7
WATCH,formatters,xml-minifier,XML Minifier,0,10,67.1
WATCH,generators,isbn13-generator,ISBN-13 Generator,0,10,39.3
WATCH,generators2,nda-gen,NDA Generator,0,10,86.8
WATCH,images,solid-color-image,Solid Color Image,0,10,40.8
WATCH,js,js-import-sorter,JS Import Sorter,0,10,33.9
WATCH,mathcalc,boolean-algebra,Boolean Algebra,0,10,66.2
WATCH,mathcalc,permutation-combination,Permutation & Combination Calculator,0,10,64.7
WATCH,random,random-trivia-generator,Random Trivia Generator,0,10,46.0
WATCH,study,greek-alphabet-reference,Greek Alphabet Reference,0,10,53.8
WATCH,study,paragraph-splitter,Paragraph Splitter,0,10,17.1
WATCH,text,invisible-char-remover,Invisible Character Remover,0,10,63.4
WATCH,text,remove-line-breaks,Remove Line Breaks,0,10,74.9
WATCH,audio,audio-silence-remover,Audio Silence Remover,0,9,50.8
WATCH,audio,audio-spectrum-analyzer,Audio Spectrum Analyzer,0,9,50.9
WATCH,converters2,tire-pressure-converter,Tire Pressure Converter,0,9,65.1
WATCH,css,css-button,CSS Button Generator,0,9,73.4
WATCH,everyday,typing-speed-test,Typing Speed Test,0,9,91.8
WATCH,fancy,discord-formatter,Discord Text Formatter,0,9,73.0
WATCH,fancy,leetspeak-generator,Leetspeak Generator,0,9,73.4
WATCH,financecalc,heart-rate-zone-calc,Heart Rate Zones,0,9,82.4
WATCH,financecalc,pace-calc,Pace Calculator,0,9,90.6
WATCH,generators,random-hex-gen,Random Hex Generator,0,9,57.3
WATCH,generators2,cookie-policy-gen,Cookie Policy Generator,0,9,61.8
WATCH,generators2,copyright-notice-gen,Copyright Notice Generator,0,9,65.2
WATCH,hash,caesar-hash,Simple String Hash,0,9,48.8
WATCH,mathcalc,truth-table-gen,Truth Table Generator,0,9,76.2
WATCH,pdf,pdf-rotator,PDF Rotator,0,9,63.2
WATCH,random,random-country-picker,Random Country Picker,0,9,41.6
WATCH,text,number-extractor,Number Extractor,0,9,79.6
WATCH,text,text-splitter,Text Splitter,0,9,83.0
WATCH,audio,audio-reverser,Audio Reverser,0,8,38.9
WATCH,colors,oklch-converter,OKLCH Color Converter,0,8,49.5
WATCH,converters2,bra-size-converter,Bra Size Converter,0,8,84.2
